name,memory_percent,cpu_percent,pid
RuntimeBroker.exe,0.28424446865642644,0.0,13008
WMIC.exe,0.10200044434397844,0.0,13016
Widgets.exe,0.26471659261337493,0.0,13040
cmd.exe,0.02997020181793381,0.0,13204
conhost.exe,0.04496741679392494,0.0,13224
WidgetService.exe,0.07144876730888182,0.0,13288
conhost.exe,0.04966767479932442,0.0,13356
msedgewebview2.exe,0.42181181378353083,0.0,13360
msedgewebview2.exe,0.019430963506857652,0.0,13420
Driver Updater.exe,0.058850137603687326,0.0,13476
conhost.exe,0.04496741679392494,0.0,13724
WMIC.exe,0.1020246724780269,0.0,13744
WMIC.exe,0.1021700412823176,0.0,13796
chrome.exe,1.15849245766073,0.0,13976
msedgewebview2.exe,0.15675602729347757,0.0,13988
msedgewebview2.exe,0.30309395694612123,0.0,13996
msedgewebview2.exe,0.04957076226313062,0.0,14084
Code.exe,0.9021830275621676,0.3,14172
WMIC.exe,0.10042561563082915,0.0,14204
msedgewebview2.exe,0.5807968294094659,0.0,14236
WMIC.exe,0.10020756242439308,0.0,14540
Rave.exe,0.28303306195400385,3.5,14580
svchost.exe,0.061272951008532424,0.0,14640
chrome.exe,0.3951366381961864,0.0,14672
jusched.exe,0.031859996273712984,0.0,14744
WMIC.exe,0.10231541008660831,0.0,14812
Rave.exe,0.23322001835038875,0.0,14932
WMIC.exe,0.10219426941636607,0.0,15120
WMIC.exe,0.10204890061207535,0.0,15164
WMIC.exe,0.046106139094202137,0.0,15200
conhost.exe,0.01577251526554156,0.0,15212
SecurityHealthService.exe,0.08482269730362674,0.0,15472
Code.exe,1.6086027320128518,0.0,15488
iqtray.exe,0.02405853711011178,0.0,15508
SearchIndexer.exe,0.20131156580857884,0.0,15736
Rave.exe,0.040897090273785186,0.0,15776
conhost.exe,0.0450401011960703,0.0,15876
conhost.exe,0.04496741679392494,0.0,15912
TextInputHost.exe,0.33059288909111306,0.0,15924
conhost.exe,0.05034606255268105,0.0,16108
svchost.exe,0.08947449904092931,0.0,16296
conhost.exe,0.04494318865987649,0.0,16304
WINWORD.EXE,1.9191589542458958,0.3,16312
CodeSetup-stable-dfaf44141ea9deb3b4096f7cd6d24e00c147a4b1.exe,0.0800497548960819,0.0,16340
svchost.exe,0.06352616747503836,0.0,16448
svchost.exe,0.07321742109441874,0.0,16464
FusionService.exe,0.10892969068183542,0.0,16504
taskhostw.exe,0.12332120230661528,0.0,16952
XboxPcAppFT.exe,0.13010507984018155,0.0,16988
serial-discovery.exe,0.031859996273712984,1.7,17332
SecurityHealthSystray.exe,0.02405853711011178,0.0,17396
WMIC.exe,0.10209735688017227,0.0,17492
conhost.exe,0.04489473239177959,0.0,17496
conhost.exe,0.04496741679392494,0.0,17500
conhost.exe,0.04695412378589792,0.0,17540
sqlservr.exe,0.3720956827161095,0.3,17544
CrossDeviceService.exe,0.14006284293409488,0.0,17860
sqlservr.exe,0.3500238525979707,0.0,17984
svchost.exe,0.12467797781332851,0.0,18048
SpotifyWidgetProvider.exe,0.14624101711644985,0.0,18216
conhost.exe,0.04491896052582804,0.0,18464
WindowsCopilotRuntimeActions.exe,0.057784099705555494,0.0,18540
sqlceip.exe,0.18784072327764012,0.0,18620
sqlceip.exe,0.19123266204442324,0.0,18704
sqlceip.exe,0.1564895178189446,0.0,18776
svchost.exe,0.14032935240862784,0.0,18808
SupportAssistAgent.exe,0.9836622423671081,0.0,18828
DDVDataCollector.exe,0.5840433993719583,0.0,18912
DDVCollectorSvcApi.exe,0.01705660637010946,0.0,19124
conhost.exe,0.04499164492797339,0.0,19144
conhost.exe,0.04494318865987649,0.0,19340
RtkAudUService64.exe,0.04002487744804095,0.0,19444
WMIC.exe,0.10209735688017227,0.0,19472
conhost.exe,0.04496741679392494,0.0,19524
Code.exe,0.6608223561714993,0.0,19592
Rave.exe,0.04961921853122752,0.0,19652
WavesSvc64.exe,0.09889924318577674,0.0,19744
VSSVC.exe,0.09657334231712544,0.0,19760
chrome.exe,2.0492640340860775,1.1,19884
chrome.exe,0.02420390591440249,0.0,19904
chrome.exe,1.5861917080180346,13.9,20024
chrome.exe,0.7066377576571201,0.0,20144
chrome.exe,0.24887139294568805,0.0,20156
chrome.exe,0.2503008528545466,0.0,20244
conhost.exe,0.04491896052582804,0.0,20408
WMIC.exe,0.10013487802224773,0.0,20424
chrome.exe,0.480492354448879,0.4,20432
msedgewebview2.exe,0.058632084397251275,0.0,20500
msedgewebview2.exe,0.020739282745474003,0.0,20520
msedgewebview2.exe,0.027256650804507305,0.0,20712
msedgewebview2.exe,0.053907598257803335,0.0,20720
msedgewebview2.exe,0.01933405097066385,0.0,20744
msedgewebview2.exe,0.04751137086901229,0.0,20832
Driver Updater Service.exe,0.05269619155538079,0.0,21096
chrome.exe,0.19341319410878385,0.0,21384
svchost.exe,0.25148803142292075,0.0,21404
RuntimeBroker.exe,0.08365974686930108,0.0,21660
ai.exe,0.02149035490097598,0.0,21976
crashpad_handler.exe,0.017638081587272283,0.0,22116
ApplicationFrameHost.exe,0.322476464184882,0.0,22164
Rave.exe,0.10367218559332156,0.0,22172
WMIC.exe,0.046009226558008334,0.0,22272
conhost.exe,0.04520969813440945,0.0,22364
conhost.exe,0.04496741679392494,0.0,22436
conhost.exe,0.04496741679392494,0.0,22440
Rave.exe,0.09662179858522234,0.0,22596
Code.exe,0.19581177937958047,0.0,22656
Code.exe,0.6052187885303044,0.0,22716
conhost.exe,0.0450401011960703,0.0,22764
WMIC.exe,0.045791173351572276,0.0,23032
WMIC.exe,0.10258191956114128,0.0,23096
WMIC.exe,0.10221849755041451,0.0,23176
FileCoAuth.exe,0.20906456870408313,0.0,23220
WMIC.exe,0.10214581314826915,1.4,23328
Rave.exe,0.4133077387325245,0.0,23340
RuntimeBroker.exe,0.01647513115294664,0.0,23424
Rave.exe,0.02405853711011178,0.0,23440
conhost.exe,0.04496741679392494,0.0,23632
svchost.exe,0.08639752601677606,0.0,23648
conhost.exe,0.045015873062021844,0.0,23788
svchost.exe,0.01577251526554156,0.0,23836
conhost.exe,0.04496741679392494,0.0,23844
ShellExperienceHost.exe,0.3790491571880149,0.0,23848
WMIC.exe,0.04583962961966918,0.0,23888
conhost.exe,0.04494318865987649,0.0,23912
WMIC.exe,0.0917519436414837,0.0,23916
Code.exe,1.8658328312052552,0.4,23932
conhost.exe,0.045015873062021844,0.0,23940
WMIC.exe,0.10028024682653842,0.0,24192
chrome.exe,0.4011694435742506,0.0,24492
Code.exe,0.8015635868589508,0.0,24544
WMIC.exe,0.10204890061207535,0.0,24704
conhost.exe,0.04496741679392494,0.0,24744
conhost.exe,0.04496741679392494,0.0,24748
conhost.exe,0.04949807786098527,0.0,24840
audiodg.exe,0.13463574090724187,0.0,24868
